variant,config_index,m_bits,l_bits,k_bits,ssim,ssim_error
M-AxPPA-COPY_B,1,1,1,14,0.432790468,0.567209532
M-AxPPA-COPY_AB,1,1,1,14,0.421723488,0.578276512
M-AxPPA-COPY_BA,1,1,1,14,0.438677287,0.561322713
M-AxPPA-COPY_B,2,1,2,13,0.416617552,0.583382448
M-AxPPA-COPY_AB,2,1,2,13,0.405413250,0.594586750
M-AxPPA-COPY_BA,2,1,2,13,0.417787196,0.582212804
M-AxPPA-COPY_B,3,1,3,12,0.407028758,0.592971242
M-AxPPA-COPY_AB,3,1,3,12,0.406389162,0.593610838
M-AxPPA-COPY_BA,3,1,3,12,0.408063428,0.591936572
M-AxPPA-COPY_B,4,1,4,11,0.402606530,0.597393470
M-AxPPA-COPY_AB,4,1,4,11,0.401926176,0.598073824
M-AxPPA-COPY_BA,4,1,4,11,0.402885267,0.597114733
M-AxPPA-COPY_B,5,1,5,10,0.403449439,0.596550561
M-AxPPA-COPY_AB,5,1,5,10,0.402957510,0.597042490
M-AxPPA-COPY_BA,5,1,5,10,0.403739103,0.596260897
M-AxPPA-COPY_B,6,1,6,9,0.403729178,0.596270822
M-AxPPA-COPY_AB,6,1,6,9,0.403245025,0.596754975
M-AxPPA-COPY_BA,6,1,6,9,0.403578529,0.596421471
M-AxPPA-COPY_B,7,1,7,8,0.407848822,0.592151178
M-AxPPA-COPY_AB,7,1,7,8,0.407838456,0.592161544
M-AxPPA-COPY_BA,7,1,7,8,0.407715945,0.592284055
M-AxPPA-COPY_B,8,1,8,7,0.406926542,0.593073458
M-AxPPA-COPY_AB,8,1,8,7,0.406915905,0.593084095
M-AxPPA-COPY_BA,8,1,8,7,0.406920283,0.593079717
M-AxPPA-COPY_B,9,1,9,6,0.406869298,0.593130702
M-AxPPA-COPY_AB,9,1,9,6,0.406872891,0.593127109
M-AxPPA-COPY_BA,9,1,9,6,0.406863742,0.593136258
M-AxPPA-COPY_B,10,1,10,5,0.401574941,0.598425059
M-AxPPA-COPY_AB,10,1,10,5,0.401577980,0.598422020
M-AxPPA-COPY_BA,10,1,10,5,0.401561795,0.598438205
M-AxPPA-COPY_B,11,1,11,4,0.403990957,0.596009043
M-AxPPA-COPY_AB,11,1,11,4,0.403987123,0.596012877
M-AxPPA-COPY_BA,11,1,11,4,0.403977835,0.596022165
M-AxPPA-COPY_B,12,1,12,3,0.406596785,0.593403215
M-AxPPA-COPY_AB,12,1,12,3,0.406592844,0.593407156
M-AxPPA-COPY_BA,12,1,12,3,0.406595826,0.593404174
M-AxPPA-COPY_B,13,1,13,2,0.404309245,0.595690755
M-AxPPA-COPY_AB,13,1,13,2,0.404308372,0.595691628
M-AxPPA-COPY_BA,13,1,13,2,0.404308318,0.595691682
M-AxPPA-COPY_B,14,1,14,1,0.406991863,0.593008137
M-AxPPA-COPY_AB,14,1,14,1,0.406991011,0.593008989
