variant,config_index,m_bits,l_bits,k_bits,ssim,ssim_error
COPY,1,1,1,14,0.429453214,0.570546786
LOA,1,1,1,14,0.486956917,0.513043083
TRUNC,1,1,1,14,0.291476873,0.708523127
COPY B,1,1,1,14,0.432790468,0.567209532
COPY AB,1,1,1,14,0.421723488,0.578276512
COPY BA,1,1,1,14,0.438677287,0.561322713
TRUNC 1,1,1,1,14,0.501797808,0.498202192
LZTA,1,1,1,14,0.767174572,0.232825428
HOERAA,1,1,1,14,0.797574609,0.202425391
MHEAA,1,1,1,14,0.804726132,0.195273868
HERLOA,1,1,1,14,0.805393142,0.194606858
HEAA,1,1,1,14,0.804449670,0.195550330
ETA,1,1,1,14,0.822648865,0.177351135
SETA,1,1,1,14,0.770402300,0.229597700
OLOCA,1,1,1,14,0.769158145,0.230841855
MHERLOA,1,1,1,14,0.805567878,0.194432122
LDCA,1,1,1,14,0.754531513,0.245468487
HOAANED,1,1,1,14,0.801682651,0.198317349
COPY,2,1,2,13,0.406511150,0.593488850
LOA,2,1,2,13,0.436788766,0.563211234
TRUNC,2,1,2,13,0.349878419,0.650121581
COPY B,2,1,2,13,0.416617552,0.583382448
COPY AB,2,1,2,13,0.405413250,0.594586750
COPY BA,2,1,2,13,0.417787196,0.582212804
TRUNC 1,2,1,2,13,0.452756338,0.547243662
LZTA,2,1,2,13,0.712164092,0.287835908
HOERAA,2,1,2,13,0.709608687,0.290391313
MHEAA,2,1,2,13,0.713770157,0.286229843
HERLOA,2,1,2,13,0.712891771,0.287108229
HEAA,2,1,2,13,0.713275396,0.286724604
ETA,2,1,2,13,0.763090701,0.236909299
SETA,2,1,2,13,0.694134137,0.305865863
OLOCA,2,1,2,13,0.694012356,0.305987644
MHERLOA,2,1,2,13,0.712827919,0.287172081
LDCA,2,1,2,13,0.655809089,0.344190911
HOAANED,2,1,2,13,0.710990155,0.289009845
COPY,3,1,3,12,0.407449545,0.592550455
LOA,3,1,3,12,0.419293614,0.580706386
TRUNC,3,1,3,12,0.378805158,0.621194842
COPY B,3,1,3,12,0.407028758,0.592971242
COPY AB,3,1,3,12,0.406389162,0.593610838
COPY BA,3,1,3,12,0.408063428,0.591936572
TRUNC 1,3,1,3,12,0.430261652,0.569738348
LZTA,3,1,3,12,0.674551328,0.325448672
HOERAA,3,1,3,12,0.697944284,0.302055716
MHEAA,3,1,3,12,0.700414528,0.299585472
HERLOA,3,1,3,12,0.699513505,0.300486495
HEAA,3,1,3,12,0.699755626,0.300244374
ETA,3,1,3,12,0.751554062,0.248445938
SETA,3,1,3,12,0.690849626,0.309150374
OLOCA,3,1,3,12,0.691200841,0.308799159
MHERLOA,3,1,3,12,0.699491190,0.300508810
LDCA,3,1,3,12,0.660233843,0.339766157
HOAANED,3,1,3,12,0.699193671,0.300806329
COPY,4,1,4,11,0.402209004,0.597790996
LOA,4,1,4,11,0.408949275,0.591050725
TRUNC,4,1,4,11,0.388728310,0.611271690
COPY B,4,1,4,11,0.402606530,0.597393470
COPY AB,4,1,4,11,0.401926176,0.598073824
COPY BA,4,1,4,11,0.402885267,0.597114733
TRUNC 1,4,1,4,11,0.414463323,0.585536677
LZTA,4,1,4,11,0.686134722,0.313865278
HOERAA,4,1,4,11,0.668662344,0.331337656
MHEAA,4,1,4,11,0.669901904,0.330098096
HERLOA,4,1,4,11,0.669302623,0.330697377
HEAA,4,1,4,11,0.669631991,0.330368009
ETA,4,1,4,11,0.746507712,0.253492288
SETA,4,1,4,11,0.664118212,0.335881788
OLOCA,4,1,4,11,0.664415227,0.335584773
MHERLOA,4,1,4,11,0.669284763,0.330715237
LDCA,4,1,4,11,0.643032353,0.356967647
HOAANED,4,1,4,11,0.669027910,0.330972090
COPY,5,1,5,10,0.403254330,0.596745670
LOA,5,1,5,10,0.406550474,0.593449526
TRUNC,5,1,5,10,0.397277701,0.602722299
COPY B,5,1,5,10,0.403449439,0.596550561
COPY AB,5,1,5,10,0.402957510,0.597042490
COPY BA,5,1,5,10,0.403739103,0.596260897
TRUNC 1,5,1,5,10,0.410167923,0.589832077
LZTA,5,1,5,10,0.649603515,0.350396485
HOERAA,5,1,5,10,0.657503587,0.342496413
MHEAA,5,1,5,10,0.658012474,0.341987526
HERLOA,5,1,5,10,0.657803190,0.342196810
HEAA,5,1,5,10,0.657864941,0.342135059
ETA,5,1,5,10,0.745623005,0.254376995
SETA,5,1,5,10,0.655118661,0.344881339
OLOCA,5,1,5,10,0.655218902,0.344781098
MHERLOA,5,1,5,10,0.657829490,0.342170510
LDCA,5,1,5,10,0.627465395,0.372534605
HOAANED,5,1,5,10,0.657750043,0.342249957
COPY,6,1,6,9,0.403094685,0.596905315
LOA,6,1,6,9,0.404992466,0.595007534
TRUNC,6,1,6,9,0.400384366,0.599615634
COPY B,6,1,6,9,0.403729178,0.596270822
COPY AB,6,1,6,9,0.403245025,0.596754975
COPY BA,6,1,6,9,0.403578529,0.596421471
TRUNC 1,6,1,6,9,0.406822475,0.593177525
LZTA,6,1,6,9,0.648625550,0.351374450
HOERAA,6,1,6,9,0.663330039,0.336669961
MHEAA,6,1,6,9,0.663719942,0.336280058
HERLOA,6,1,6,9,0.663562546,0.336437454
HEAA,6,1,6,9,0.663654909,0.336345091
ETA,6,1,6,9,0.745015821,0.254984179
SETA,6,1,6,9,0.662320780,0.337679220
OLOCA,6,1,6,9,0.662368741,0.337631259
MHERLOA,6,1,6,9,0.663569298,0.336430702
LDCA,6,1,6,9,0.603697186,0.396302814
HOAANED,6,1,6,9,0.663410743,0.336589257
COPY,7,1,7,8,0.407705541,0.592294459
LOA,7,1,7,8,0.408592618,0.591407382
TRUNC,7,1,7,8,0.406200538,0.593799462
COPY B,7,1,7,8,0.407848822,0.592151178
COPY AB,7,1,7,8,0.407838456,0.592161544
COPY BA,7,1,7,8,0.407715945,0.592284055
TRUNC 1,7,1,7,8,0.409423627,0.590576373
LZTA,7,1,7,8,0.649474668,0.350525332
HOERAA,7,1,7,8,0.651099362,0.348900638
MHEAA,7,1,7,8,0.651273834,0.348726166
HERLOA,7,1,7,8,0.651212183,0.348787817
HEAA,7,1,7,8,0.651250408,0.348749592
ETA,7,1,7,8,0.744877237,0.255122763
SETA,7,1,7,8,0.650548090,0.349451910
OLOCA,7,1,7,8,0.650572743,0.349427257
MHERLOA,7,1,7,8,0.651220293,0.348779707
LDCA,7,1,7,8,0.619500925,0.380499075
HOAANED,7,1,7,8,0.651171064,0.348828936
COPY,8,1,8,7,0.406909599,0.593090401
LOA,8,1,8,7,0.407340655,0.592659345
TRUNC,8,1,8,7,0.406142215,0.593857785
COPY B,8,1,8,7,0.406926542,0.593073458
COPY AB,8,1,8,7,0.406915905,0.593084095
COPY BA,8,1,8,7,0.406920283,0.593079717
TRUNC 1,8,1,8,7,0.407746260,0.592253740
LZTA,8,1,8,7,0.668971895,0.331028105
HOERAA,8,1,8,7,0.650649643,0.349350357
MHEAA,8,1,8,7,0.650740288,0.349259712
HERLOA,8,1,8,7,0.650704696,0.349295304
HEAA,8,1,8,7,0.650725010,0.349274990
ETA,8,1,8,7,0.744507358,0.255492642
SETA,8,1,8,7,0.650389144,0.349610856
OLOCA,8,1,8,7,0.650403731,0.349596269
MHERLOA,8,1,8,7,0.650708775,0.349291225
