architecture,variant,config_index,m_bits,l_bits,k_bits,m_l_k_sum,valid_mlk,accuracy_data_present,synthesis_data_present,observed_configurations,expected_configurations,complete_variant,included_in_dashboard,exact_accuracy_pct,error_rate_pct,mean_error,mae,mse,rmse,wce,mre_signed,mred,mape_pct,wcre,nmed_full_scale,nrmse_full_scale,nmed_fidelity_pct,r2,pearson_correlation,snr_db,psnr_db,cell_count,cell_area_um2,net_area_um2,total_area_um2,leakage_power_uW,internal_power_uW,switching_power_uW,total_power_uW,critical_delay_ns,theoretical_fmax_mhz,energy_per_operation_fJ,pdp_fJ,edp_fJ_ns,area_delay_product_um2_ns,area_power_product_um2_uW,cell_count_reduction_pct,cell_area_reduction_pct,net_area_reduction_pct,total_area_reduction_pct,leakage_power_reduction_pct,internal_power_reduction_pct,switching_power_reduction_pct,total_power_reduction_pct,delay_reduction_pct,delay_speedup,energy_reduction_pct,pdp_reduction_pct,adp_reduction_pct,ppa_composite_relative,ppa_gain_pct
M_AxPPA_APROX5_M1_L1_K14,APROX5,1,1,1,14,16,1,1,1,105,105,1,1,0.0,100.0,-500.5,500.5,333833.5,577.783263862843,1000,-0.49828193378827,0.49828193378827,49.828193378827,0.499750124937531,0.0038185410960471,0.0044081701052318,99.6181458903953,-0.0015015015015014,1.0,6.02710944632812,47.114833100103,2,14.56,29.882,44.442,0.00692327,0.024873,0.0354,0.0671963,0.494,2024.29149797571,0.671963,0.0331949722,0.0163983162668,21.954348,2.9863379646,87.5,90.0,65.6248202556109,80.8875452094147,88.4061458594993,93.0964712151743,91.9169039458752,92.1678891415557,87.5346959374211,8.02226720647773,92.1678891415557,99.0237035669767,97.6175743965306,0.0018659421438368,99.8134057856163
M_AxPPA_APROX5_M1_L2_K13,APROX5,2,1,2,13,16,1,1,1,105,105,1,1,0.0,100.0,-500.5,500.5,333833.5,577.783263862843,1000,-0.49828193378827,0.49828193378827,49.828193378827,0.499750124937531,0.0038185410960471,0.0044081701052318,99.6181458903953,-0.0015015015015014,1.0,6.02710944632812,47.114833100103,4,23.92,35.315,59.235,0.0121304,0.0431548,0.0583,0.113585,0.494,2024.29149797571,1.13585,0.05611099,0.02771882906,29.26209,6.728207475,75.0,83.5714285714286,59.3748921533665,74.5257580774871,79.6861760026794,88.0223373134163,86.6880084758341,86.7610223798573,87.5346959374211,8.02226720647773,86.7610223798573,98.3497211848725,96.8245582867218,0.0042039601776157,99.5796039822384
M_AxPPA_APROX5_M1_L3_K12,APROX5,3,1,3,12,16,1,1,1,105,105,1,1,0.0,100.0,-500.5,500.5,333833.5,577.783263862843,1000,-0.49828193378827,0.49828193378827,49.828193378827,0.499750124937531,0.0038185410960471,0.0044081701052318,99.6181458903953,-0.0015015015015014,1.0,6.02710944632812,47.114833100103,6,33.28,40.748,74.028,0.0173375,0.0614366,0.0812,0.159974,0.494,2024.29149797571,1.59974,0.079027156,0.039039415064,36.569832,11.842555272,62.5,77.1428571428571,53.1249640511222,68.1639709455595,70.966256384493,82.9482034116583,81.4591130057929,81.354120651453,87.5346959374211,8.02226720647773,81.354120651453,97.675734444062,96.031542176913,0.0073995385769076,99.2600461423092
M_AxPPA_APROX5_M1_L4_K11,APROX5,4,1,4,11,16,1,1,1,105,105,1,1,0.0,100.0,-500.5,500.5,333833.5,577.783263862843,1000,-0.49828193378827,0.49828193378827,49.828193378827,0.499750124937531,0.0038185410960471,0.0044081701052318,99.6181458903953,-0.0015015015015014,1.0,6.02710944632812,47.114833100103,8,42.64,46.181,88.821,0.0225447,0.0797184,0.1041,0.206363,0.494,2024.29149797571,2.06363,0.101943322,0.050360001068,43.877574,18.329368023,50.0,70.7142857142857,46.8750359488778,61.8021838136318,62.2461693041949,77.8740695099003,76.2302175357517,75.9472189230488,87.5346959374211,8.02226720647773,75.9472189230488,97.0017477032516,95.2385260671042,0.0114526690111551,98.8547330988845
M_AxPPA_APROX5_M1_L5_K10,APROX5,5,1,5,10,16,1,1,1,105,105,1,1,0.0,100.0,-500.5,500.5,333833.5,577.783263862843,1000,-0.49828193378827,0.49828193378827,49.828193378827,0.499750124937531,0.0038185410960471,0.0044081701052318,99.6181458903953,-0.0015015015015014,1.0,6.02710944632812,47.114833100103,10,52.0,51.614,103.614,0.0277518,0.0980003,0.127,0.252752,0.494,2024.29149797571,2.52752,0.124859488,0.061680587072,51.185316,26.188645728,37.5,64.2857142857143,40.6251078466335,55.4403966817042,53.5262496860085,72.7999078530311,71.0013220657106,70.5403171946445,87.5346959374211,8.02226720647773,70.5403171946445,96.3277609624412,94.4455099572955,0.0163633514803581,98.3636648519642
M_AxPPA_APROX5_M1_L6_K9,APROX5,6,1,6,9,16,1,1,1,105,105,1,1,0.1,99.9,-250.132,250.132,83465.5,288.903963281918,511,-0.326651844338401,0.326651844338401,32.6651844338401,0.499511241446725,0.0019083702726003,0.0022041791340717,99.80916297274,0.74960324960325,0.969921101505302,12.0473386099848,53.1350622637598,12,61.36,57.047,118.407,0.0329589,0.116282,0.1499,0.299141,0.494,2024.29149797571,2.99141,0.147775654,0.073001173076,58.493058,35.420388387,25.0,57.8571428571429,34.3751797443891,49.0786095497766,44.8063300678222,67.7258017063842,65.7724265956694,65.1334154662402,87.5346959374211,8.02226720647773,65.1334154662402,95.6537742216308,93.6524938474867,0.0221315859845167,97.7868414015483
M_AxPPA_APROX5_M1_L7_K8,APROX5,7,1,7,8,16,1,1,1,105,105,1,1,0.3,99.7,-124.948,124.948,20868.38,144.458921496736,255,-0.204013544071795,0.204013544071795,20.4013544071795,0.499021526418787,0.0009532848608769,0.0011021425143375,99.9046715139123,0.937394797394797,0.992127994685041,18.0675212401455,59.1552448939204,14,70.72,62.481,133.201,0.038166,0.134564,0.1728,0.34553,0.494,2024.29149797571,3.4553,0.17069182,0.08432175908,65.801294,46.02494153,12.5,51.4285714285714,28.1241012780545,42.7163923639632,36.0864104496358,62.651612294404,60.5435311256282,59.726513737836,87.5346959374211,8.02226720647773,59.726513737836,94.9797874808203,92.8594241301534,0.0287575884198208,97.1242411580179
M_AxPPA_APROX5_M1_L8_K7,APROX5,8,1,8,7,16,1,1,1,105,105,1,1,0.7,99.3,-62.356,62.356,5216.54,72.2256187235527,127,-0.122479905428678,0.122479905428678,12.2479905428678,0.498039215686275,0.0004757421550152,0.000551041944622,99.9524257844985,0.984350364350364,0.998005731541035,24.0885831849945,65.1763068387694,16,80.08,67.914,147.994,0.0433732,0.152846,0.1957,0.391919,0.494,2024.29149797571,3.91919,0.193607986,0.095642345084,73.109036,58.001660486,0.0,45.0,21.8741731758101,36.3546052320356,27.3663233693377,57.5774228824238,55.314635655587,54.3196120094317,87.5346959374211,8.02226720647773,54.3196120094317,94.3058007400099,92.0664080203446,0.0362409559789521,96.3759044021048
M_AxPPA_APROX5_M1_L9_K6,APROX5,9,1,9,6,16,1,1,1,105,105,1,1,1.5,98.5,-31.06,31.06,1302.3,36.0873939208694,63,-0.0711206985036472,0.0711206985036472,7.11206985036472,0.496062992125984,0.0002369708020843,0.0002753270664057,99.9763029197916,0.996093096093096,0.999493614239951,30.1152981980634,71.2030218518383,18,89.44,73.347,162.787,0.0485803,0.171128,0.2186,0.438308,0.494,2024.29149797571,4.38308,0.216524152,0.106962931088,80.416778,71.350844396,-12.5,38.5714285714286,15.6242450735658,29.9928181001079,18.6464037511513,52.5032334704436,50.0857401855459,48.9127102810274,87.5346959374211,8.02226720647773,48.9127102810274,93.6318139991995,91.2733919105358,0.0445818755730388,95.5418124426961
M_AxPPA_APROX5_M1_L10_K5,APROX5,10,1,10,5,16,1,1,1,105,105,1,1,3.1,96.9,-15.412,15.412,323.1,17.9749826147343,31,-0.0400211773982384,0.0400211773982384,4.00211773982384,0.492063492063492,0.0001175851256189,0.0001371392803498,99.9882414874381,0.999030699030699,0.99987164157456,36.1690390234705,77.2567626772455,20,98.8,78.78,177.58,0.0537874,0.189409,0.2415,0.484697,0.494,2024.29149797571,4.84697,0.239440318,0.118283517092,87.72452,86.07249326,-25.0,32.1428571428571,9.37431697132143,23.6310309681803,9.92648413296492,47.4293216095744,44.8568447155047,43.5058085526231,87.5346959374211,8.02226720647773,43.5058085526232,92.9578272583891,90.480375800727,0.0537803472020811,94.6219652797919
M_AxPPA_APROX5_M1_L11_K4,APROX5,11,1,11,4,16,1,1,1,105,105,1,1,6.2,93.8,-7.476,7.476,77.084,8.77974942694836,15,-0.0216751222834111,0.0216751222834111,2.16751222834111,0.483870967741935,5.7037788679418e-05,6.69846833162817e-05,99.9942962211321,0.999768747768748,0.999968210726729,42.3927661762915,83.4804898300664,22,108.16,84.213,192.373,0.0589946,0.207691,0.2644,0.531086,0.494,2024.29149797571,5.31086,0.262356484,0.129604103096,95.032262,102.166607078,-37.5,25.7142857142857,3.12438886907708,17.2692438362527,1.20639705266684,42.3551321975942,39.6279492454635,38.0989068242189,87.5346959374211,8.02226720647773,38.0989068242189,92.2838405175786,89.6873596909182,0.0638363708660789,93.6163629133921
M_AxPPA_APROX5_M1_L12_K3,APROX5,12,1,12,3,16,1,1,1,105,105,1,1,12.5,87.5,-3.5,3.5,17.5,4.18330013267038,7,-0.011121466382389,0.011121466382389,1.1121466382389,0.466666666666667,2.67030845877425e-05,3.19162906567462e-05,99.9973296915412,0.9999474999475,0.999992124974898,48.832028116784,89.919751770559,24,117.52,89.646,207.166,0.0642017,0.225973,0.2873,0.577475,0.494,2024.29149797571,5.77475,0.28527265,0.1409246891,102.340004,119.63318585,-50.0,19.2857142857143,-3.1255392331673,10.907456704325,-7.51352256551956,37.280942785614,34.3990537754224,32.6920050958146,87.5346959374211,8.02226720647773,32.6920050958146,91.6098537767682,88.8943435811094,0.0747499465650322,92.5250053434968
M_AxPPA_APROX5_M1_L13_K2,APROX5,13,1,13,2,16,1,1,1,105,105,1,1,25.0,75.0,-1.5,1.5,3.5,1.87082869338697,3,-0.0051506541933581,0.0051506541933581,0.51506541933581,0.428571428571429,1.14441791090325e-05,1.42733990996252e-05,99.9988555820891,0.9999894999895,0.999998125010148,55.8217281601442,96.9094518139192,26,126.88,95.079,221.959,0.0694088,0.244255,0.3102,0.623864,0.494,2024.29149797571,6.23864,0.308188816,0.152245275104,109.647746,138.472229576,-62.5,12.8571428571429,-9.37546733541166,4.54566957239741,-16.2334421837059,32.2067533736338,29.1701583053812,27.2851033674103,87.5346959374211,8.02226720647773,27.2851033674103,90.9358670359578,88.1013274713006,0.086521074298941,91.3478925701059
M_AxPPA_APROX5_M1_L14_K1,APROX5,14,1,14,1,16,1,1,1,105,105,1,1,50.0,50.0,-0.5,0.5,0.5,0.707106781186548,1,-0.0018252422549375,0.0018252422549375,0.182524225493758,0.333333333333333,3.8147263696775e-06,5.39483776874021e-06,99.999618527363,0.9999984999985,0.999999625002086,64.2727085602868,105.360432214062,28,136.24,100.512,236.752,0.074616,0.262537,0.3331,0.670253,0.494,2024.29149797571,6.70253,0.331104982,0.163565861108,116.955488,158.683738256,-75.0,6.42857142857142,-15.625395437656,-1.81611755953022,-24.953529264004,27.1325639616535,23.94126283534,21.8782016390061,87.5346959374211,8.02226720647773,21.8782016390061,90.2618802951473,87.3083113614918,0.0991497540678054,90.0850245932195
M_AxPPA_APROX5_M2_L1_K13,APROX5,15,2,1,13,16,1,1,1,105,105,1,1,0.0,100.0,-500.5,500.5,333833.5,577.783263862843,1000,-0.49828193378827,0.49828193378827,49.828193378827,0.499750124937531,0.0038185410960471,0.0044081701052318,99.6181458903953,-0.0015015015015014,1.0,6.02710944632812,47.114833100103,3,23.92,33.957,57.877,0.0106995,0.042386,0.05945,0.112535,0.721,1386.9625520111,1.12535,0.081137735,0.058500306935,41.729317,6.513188195,81.25,83.5714285714286,60.9370865879051,75.1097712543382,82.082391358955,88.2357186075816,86.4254220220984,86.8834058503961,81.8067120868029,5.49653259361997,86.8834058503961,97.613660261957,95.4716490220484,0.0059396541944753,99.4060345805525
M_AxPPA_APROX5_M2_L2_K12,APROX5,16,2,2,12,16,1,1,1,105,105,1,1,0.0,100.0,-500.5,500.5,333833.5,577.783263862843,1000,-0.49828193378827,0.49828193378827,49.828193378827,0.499750124937531,0.0038185410960471,0.0044081701052318,99.6181458903953,-0.0015015015015014,1.0,6.02710944632812,47.114833100103,5,33.28,39.39,72.67,0.0159066,0.0606678,0.08235,0.158924,0.721,1386.9625520111,1.58924,0.114584204,0.082615211084,52.39507,11.54900708,68.75,77.1428571428571,54.6871584856607,68.7479841224105,73.3624717407687,83.1615847058236,81.1965265520572,81.4765041219918,81.8067120868029,5.49653259361997,81.4765041219918,96.6299670633248,94.3142307727121,0.0105320322844973,98.9467967715503
M_AxPPA_APROX5_M2_L3_K11,APROX5,17,2,3,11,16,1,1,1,105,105,1,1,0.0,100.0,-500.5,500.5,333833.5,577.783263862843,1000,-0.49828193378827,0.49828193378827,49.828193378827,0.499750124937531,0.0038185410960471,0.0044081701052318,99.6181458903953,-0.0015015015015014,1.0,6.02710944632812,47.114833100103,7,42.64,44.823,87.463,0.0211137,0.0789496,0.10525,0.205313,0.721,1386.9625520111,2.05313,0.148030673,0.106730115233,63.060823,17.957290919,56.25,70.7142857142857,48.4372303834163,62.3861969904829,64.6425521225823,78.0874508040656,75.967631082016,76.0696023935876,81.8067120868029,5.49653259361997,76.0696023935876,95.6462738646926,93.1568125233758,0.016376019721084,98.3623980278916
M_AxPPA_APROX5_M2_L4_K10,APROX5,18,2,4,10,16,1,1,1,105,105,1,1,0.0,100.0,-500.5,500.5,333833.5,577.783263862843,1000,-0.49828193378827,0.49828193378827,49.828193378827,0.499750124937531,0.0038185410960471,0.0044081701052318,99.6181458903953,-0.0015015015015014,1.0,6.02710944632812,47.114833100103,9,52.0,50.256,102.256,0.0263209,0.0972314,0.12815,0.251702,0.721,1386.9625520111,2.51702,0.181477142,0.130845019382,73.726576,25.738039712,43.75,64.2857142857143,42.187302281172,56.0244098585553,55.9224650422842,73.0133169023076,70.7387356119749,70.6627006651833,81.8067120868029,5.49653259361997,70.6627006651833,94.6625806660604,91.9993942740395,0.0234716165042353,97.6528383495765
