architecture_id,family,variant,baseline_source,w_bits,m_bits,l_bits,k_bits,approximation_strategy,is_literature_baseline,selected_for_synthesis,input_vectors,ssim,ncc,mae,mre,mred,accuracy_rank,technology_node_nm,supply_voltage,clock_mhz,energy_saving_pct,area_saving_pct,power_mw,area_um2,delay_ns,pdp,edp,normalized_error,normalized_energy_saving,normalized_area_saving,balanced_score,pareto_optimal_energy_error,pareto_optimal_area_error
1,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,1,14,COPY,0,0,1000000,0.902,0.948,12280.0,0.208,0.13690627151044535,412,65,1.25,200,95.7913,71.6153,0.052609,283.847,3.46875,0.182488,0.633006,0.657507,0.977462,0.792215,0.796433,1,0
2,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,2,13,COPY,0,0,1000000,0.91495,0.965503,10274.991,0.178387,0.119389,406,65,1.25,200,89.791,67.263,0.127612,327.37,3.578125,0.456612,1.633813,0.701329,0.916235,0.74407,0.785094,0,0
3,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,3,12,COPY,0,0,1000000,0.926615,0.970244,8870.609,0.154139,0.100555,390,65,1.25,200,85.8329,64.6188,0.177088,353.812,3.6875,0.653013,2.407986,0.748445,0.875846,0.714819,0.78631,0,0
4,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,4,11,COPY,0,0,1000000,0.939279,0.975373,7352.9,0.127407,0.08469,372,65,1.25,200,80.8701,60.6563,0.239124,393.437,3.796875,0.907924,3.447275,0.788134,0.825205,0.670986,0.777679,0,0
5,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,5,10,COPY,0,0,1000000,0.94979,0.979636,6104.879,0.105361,0.069929,352,65,1.25,200,76.437,58.1959,0.294538,418.041,3.90625,1.150539,4.494295,0.825061,0.779969,0.643769,0.773021,0,0
6,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,6,9,COPY,0,0,1000000,0.958588,0.983209,5048.049,0.08699,0.056657,329,65,1.25,200,72.2837,54.2827,0.346454,457.173,4.015625,1.391229,5.586656,0.858263,0.737589,0.60048,0.764471,0,0
7,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,7,8,COPY,0,1,1000000,0.966743,0.98652,4089.533,0.069966,0.044319,304,65,1.25,200,67.4021,51.7391,0.407474,482.609,4.125,1.680829,6.933421,0.889129,0.687777,0.572343,0.755298,0,0
8,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,8,7,COPY,0,0,1000000,0.974355,0.989604,3117.15,0.053924,0.034484,274,65,1.25,200,63.2381,48.5008,0.459523,514.992,4.234375,1.945794,8.239221,0.913733,0.645287,0.53652,0.744334,0,0
9,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,9,6,COPY,0,0,1000000,0.980489,0.992094,2373.733,0.041103,0.025379,237,65,1.25,200,58.4484,45.502,0.519394,544.98,4.34375,2.25612,9.80002,0.93651,0.596412,0.503347,0.730843,0,0
10,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,10,5,COPY,0,0,1000000,0.987087,0.99476,1605.625,0.027032,0.018711,214,65,1.25,200,55.3814,40.8302,0.557732,591.698,4.453125,2.483652,11.060014,0.953191,0.565116,0.451668,0.71706,0,0
