architecture_id,input_vectors,ssim,ncc,mae,mre,mred,accuracy_rank
1,1000000,0.902,0.948,12280.0,0.208,0.13690627151044535,412
2,1000000,0.91495,0.965503,10274.991,0.178387,0.119389,406
3,1000000,0.926615,0.970244,8870.609,0.154139,0.100555,390
4,1000000,0.939279,0.975373,7352.9,0.127407,0.08469,372
5,1000000,0.94979,0.979636,6104.879,0.105361,0.069929,352
6,1000000,0.958588,0.983209,5048.049,0.08699,0.056657,329
7,1000000,0.966743,0.98652,4089.533,0.069966,0.044319,304
8,1000000,0.974355,0.989604,3117.15,0.053924,0.034484,274
9,1000000,0.980489,0.992094,2373.733,0.041103,0.025379,237
10,1000000,0.987087,0.99476,1605.625,0.027032,0.018711,214
11,1000000,0.99061,0.996195,1176.688,0.019784,0.012191,177
12,1000000,0.99388,0.997526,781.315,0.013012,0.00661,123
13,1000000,0.996517,0.998592,476.136,0.007419,0.003618,83
14,1000000,0.998306,0.999315,181.729,0.003612,0.001725,47
15,1000000,0.915055,0.965548,10218.852,0.178238,0.118451,405
16,1000000,0.927579,0.97063,8738.146,0.151998,0.10054,389
17,1000000,0.938525,0.97507,7435.603,0.129062,0.084939,373
18,1000000,0.949613,0.979565,6149.653,0.105747,0.070021,353
19,1000000,0.958493,0.983168,5022.892,0.087136,0.05739,339
20,1000000,0.966913,0.986587,4032.631,0.069562,0.044589,307
21,1000000,0.974012,0.989465,3189.476,0.054636,0.035039,278
22,1000000,0.980891,0.992251,2373.006,0.040123,0.026348,242
23,1000000,0.987048,0.994751,1595.812,0.027267,0.017036,198
24,1000000,0.991454,0.996537,1108.615,0.018003,0.011109,166
25,1000000,0.994091,0.997611,764.007,0.012559,0.006439,121
26,1000000,0.997153,0.998845,361.202,0.005956,0.004167,91
27,1000000,0.998839,0.999533,160.828,0.002512,0.000765,17
28,1000000,0.927575,0.970624,8783.629,0.151926,0.101463,391
29,1000000,0.93893,0.975234,7436.56,0.12819,0.084604,371
30,1000000,0.949297,0.97944,6120.162,0.106485,0.069626,351
31,1000000,0.959293,0.983488,4972.129,0.085359,0.057383,338
32,1000000,0.967411,0.986787,3971.592,0.068479,0.044346,305
33,1000000,0.974087,0.989496,3214.544,0.054493,0.034774,276
34,1000000,0.980794,0.992219,2389.263,0.040489,0.024642,234
35,1000000,0.986472,0.994517,1659.467,0.028462,0.018002,207
36,1000000,0.991033,0.99637,1122.043,0.01896,0.010867,164
37,1000000,0.994685,0.997843,700.82,0.011128,0.007673,136
38,1000000,0.99744,0.998963,307.19,0.005396,0.003295,76
39,1000000,0.99799,0.999188,240.406,0.004293,0.001969,54
40,1000000,0.93865,0.975119,7400.406,0.128747,0.08534,375
41,1000000,0.948994,0.979316,6212.383,0.107081,0.070479,354
42,1000000,0.95885,0.983316,4996.824,0.086458,0.056086,325
43,1000000,0.96796,0.987,3933.924,0.067108,0.046033,314
44,1000000,0.974402,0.989624,3104.435,0.053837,0.034287,272
45,1000000,0.980771,0.992203,2332.197,0.040378,0.026469,244
46,1000000,0.986848,0.994671,1656.613,0.027713,0.017023,197
47,1000000,0.990938,0.996332,1137.269,0.019173,0.010857,163
48,1000000,0.994686,0.997849,707.651,0.011254,0.006252,119
49,1000000,0.9987,0.9993,10300.0,0.0202,0.002673596410884164,69
50,1000000,0.998365,0.999344,201.319,0.003582,0.000587,11
51,1000000,0.948746,0.979216,6215.391,0.107617,0.070656,355
52,1000000,0.958933,0.983348,4977.52,0.086257,0.056283,328
53,1000000,0.967632,0.986872,3926.858,0.067902,0.045308,311
54,1000000,0.975321,0.989993,3037.467,0.05184,0.03377,268
55,1000000,0.981726,0.992585,2274.917,0.038268,0.026342,241
56,1000000,0.98747,0.994919,1569.737,0.026305,0.017317,201
57,1000000,0.991757,0.99666,1071.411,0.017355,0.010821,162
58,1000000,0.994715,0.99786,695.045,0.011155,0.006623,124
59,1000000,0.99688,0.998742,374.516,0.006704,0.002587,68
60,1000000,0.998825,0.999526,153.902,0.002523,0.000988,27
61,1000000,0.958678,0.983242,5064.945,0.086729,0.057344,337
62,1000000,0.968045,0.987038,3885.789,0.06702,0.044893,309
63,1000000,0.974516,0.98967,3101.741,0.053602,0.034082,271
64,1000000,0.981543,0.992516,2256.483,0.038765,0.025331,236
65,1000000,0.987249,0.994825,1572.82,0.026679,0.018643,213
66,1000000,0.990925,0.996324,1101.121,0.019134,0.011613,173
67,1000000,0.994183,0.997644,773.2,0.012278,0.007306,133
68,1000000,0.996742,0.998681,391.033,0.006898,0.00386,86
69,1000000,0.998843,0.999535,148.695,0.002524,0.000524,8
70,1000000,0.968176,0.987091,3921.545,0.066738,0.044802,308
71,1000000,0.975353,0.990001,3012.642,0.05165,0.035109,279
72,1000000,0.981609,0.992538,2300.312,0.038525,0.026358,243
73,1000000,0.986927,0.994698,1592.433,0.027434,0.01819,209
74,1000000,0.991729,0.996642,1038.52,0.017278,0.012406,180
75,1000000,0.994882,0.997924,613.596,0.010744,0.007087,130
76,1000000,0.997306,0.99891,378.764,0.005709,0.003124,74
77,1000000,0.999301,0.999713,58.209,0.001377,0.001975,55
78,1000000,0.97555,0.990081,3007.623,0.05125,0.034687,275
79,1000000,0.982005,0.992703,2250.887,0.037799,0.02464,233
80,1000000,0.98743,0.9949,1567.949,0.026343,0.017898,205
81,1000000,0.991669,0.996621,1045.594,0.017483,0.011592,172
82,1000000,0.99447,0.997764,723.668,0.011759,0.005955,114
83,1000000,0.997856,0.999131,296.539,0.00451,0.002867,72
84,1000000,0.999235,0.999692,126.932,0.001642,0.000642,14
85,1000000,0.982272,0.992808,2222.788,0.037149,0.025273,235
86,1000000,0.986534,0.994546,1653.374,0.02843,0.016812,195
87,1000000,0.991924,0.996721,1038.952,0.016858,0.012248,178
88,1000000,0.994607,0.997818,660.415,0.01143,0.006242,118
89,1000000,0.997103,0.998827,383.42,0.006132,0.003438,80
90,1000000,0.998355,0.999337,174.714,0.003541,0.001274,36
91,1000000,0.986832,0.994664,1649.873,0.027731,0.017221,200
92,1000000,0.991153,0.996419,1082.733,0.018717,0.010606,155
93,1000000,0.99571,0.998258,529.508,0.008951,0.006566,122
94,1000000,0.997486,0.998981,302.791,0.005283,0.003423,79
95,1000000,0.998938,0.999573,144.157,0.00232,0.00045,7
96,1000000,0.991216,0.996439,1066.007,0.018454,0.011986,176
97,1000000,0.995379,0.998128,552.476,0.009738,0.005969,115
98,1000000,0.997342,0.998924,326.464,0.00562,0.003218,75
99,1000000,0.998845,0.999534,148.243,0.002478,0.000981,26
100,1000000,0.996029,0.998389,543.502,0.008334,0.005522,111
101,1000000,0.997245,0.998886,385.605,0.005856,0.002991,73
102,1000000,0.999167,0.999666,88.14,0.00184,0.000131,2
103,1000000,0.998096,0.999224,272.38,0.003906,0.003654,84
104,1000000,0.998806,0.999516,132.723,0.002512,0.001588,43
105,1000000,0.999768,0.999907,65.551,0.000516,0.0,1
106,1000000,0.835,0.932,20460.0,0.362,0.2249502547796642,436
107,1000000,0.852603,0.940261,17738.152,0.310212,0.195033,432
108,1000000,0.873254,0.948637,15277.861,0.266891,0.166128,425
109,1000000,0.89455,0.957262,12679.213,0.221923,0.139609,416
110,1000000,0.911584,0.964171,10689.352,0.186199,0.115667,402
111,1000000,0.928307,0.970951,8684.342,0.151068,0.09282,383
112,1000000,0.94398,0.977294,6799.878,0.117862,0.074551,366
113,1000000,0.95686,0.982515,5223.795,0.090778,0.057257,334
114,1000000,0.968035,0.987045,3863.066,0.067272,0.042328,300
115,1000000,0.978004,0.991087,2674.721,0.046344,0.028535,255
116,1000000,0.984603,0.993762,1872.069,0.032456,0.01979,220
117,1000000,0.991002,0.996358,1156.697,0.019048,0.01066,157
118,1000000,0.995409,0.998139,543.294,0.009665,0.006041,116
119,1000000,0.997448,0.998975,365.829,0.005572,0.001118,30
120,1000000,0.852594,0.940264,17713.367,0.310382,0.193346,430
121,1000000,0.873703,0.948821,15204.685,0.265986,0.16509,423
122,1000000,0.893996,0.957043,12772.069,0.22322,0.138863,414
123,1000000,0.912579,0.96457,10496.583,0.184008,0.115436,401
124,1000000,0.928205,0.970909,8689.189,0.15125,0.093319,385
125,1000000,0.943215,0.97699,6858.586,0.119601,0.074104,364
126,1000000,0.957152,0.982633,5178.363,0.090158,0.056908,333
127,1000000,0.968093,0.987068,3894.736,0.067135,0.04239,301
128,1000000,0.977696,0.990963,2718.844,0.047012,0.028723,258
129,1000000,0.985356,0.994069,1772.44,0.030907,0.018404,212
130,1000000,0.991332,0.996486,1085.744,0.018222,0.011698,174
131,1000000,0.995015,0.997985,611.098,0.010602,0.00535,110
132,1000000,0.998107,0.99924,230.99,0.004142,0.000718,16
133,1000000,0.87416,0.949002,15148.761,0.264927,0.165579,424
134,1000000,0.894129,0.957096,12725.986,0.222918,0.138933,415
135,1000000,0.912344,0.964474,10587.978,0.184501,0.115777,403
136,1000000,0.929336,0.971365,8535.567,0.14882,0.092368,382
137,1000000,0.943464,0.977092,6867.264,0.119111,0.073389,361
138,1000000,0.956307,0.982295,5276.195,0.092039,0.056882,332
139,1000000,0.968389,0.987193,3828.106,0.066629,0.040699,287
140,1000000,0.977491,0.990877,2712.449,0.047374,0.02976,265
141,1000000,0.985387,0.994079,1770.671,0.030781,0.019028,216
142,1000000,0.99107,0.996385,1088.663,0.018888,0.010762,159
143,1000000,0.995472,0.998172,596.095,0.009699,0.004086,89
144,1000000,0.997874,0.999146,270.515,0.004646,0.000887,22
145,1000000,0.894553,0.957262,12692.142,0.221889,0.139921,417
146,1000000,0.913042,0.964759,10511.288,0.183069,0.11443,399
147,1000000,0.928967,0.971212,8587.163,0.149518,0.093758,386
148,1000000,0.943039,0.97692,6928.776,0.120014,0.073866,363
149,1000000,0.956197,0.982252,5330.363,0.092298,0.056717,330
150,1000000,0.967987,0.987026,3894.974,0.067383,0.042267,298
151,1000000,0.977005,0.990684,2806.956,0.048478,0.029504,263
152,1000000,0.985703,0.994208,1770.633,0.030153,0.018219,210
153,1000000,0.991049,0.996377,1121.876,0.018933,0.010772,160
154,1000000,0.9987,0.9993,10300.0,0.0202,0.004186216707729472,93
155,1000000,0.998604,0.999437,186.067,0.002989,0.001269,35
156,1000000,0.912999,0.964742,10504.699,0.183171,0.11435,398
157,1000000,0.928763,0.971136,8599.551,0.150105,0.092239,381
158,1000000,0.94373,0.977198,6784.663,0.118515,0.073463,362
159,1000000,0.956885,0.982525,5230.484,0.090721,0.057258,335
160,1000000,0.967802,0.986952,3935.542,0.067793,0.042276,299
