architecture_id,family,variant,baseline_source,w_bits,m_bits,l_bits,k_bits,approximation_strategy,is_literature_baseline,selected_for_synthesis
1,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,1,14,COPY,0,0
2,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,2,13,COPY,0,0
3,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,3,12,COPY,0,0
4,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,4,11,COPY,0,0
5,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,5,10,COPY,0,0
6,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,6,9,COPY,0,0
7,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,7,8,COPY,0,1
8,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,8,7,COPY,0,0
9,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,9,6,COPY,0,0
10,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,10,5,COPY,0,0
11,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,11,4,COPY,0,0
12,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,12,3,COPY,0,0
13,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,13,2,COPY,0,0
14,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,1,14,1,COPY,0,1
15,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,1,13,COPY,0,1
16,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,2,12,COPY,0,0
17,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,3,11,COPY,0,0
18,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,4,10,COPY,0,0
19,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,5,9,COPY,0,0
20,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,6,8,COPY,0,0
21,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,7,7,COPY,0,0
22,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,8,6,COPY,0,0
23,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,9,5,COPY,0,0
24,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,10,4,COPY,0,0
25,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,11,3,COPY,0,0
26,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,12,2,COPY,0,0
27,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,2,13,1,COPY,0,0
28,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,1,12,COPY,0,1
29,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,2,11,COPY,0,0
30,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,3,10,COPY,0,0
31,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,4,9,COPY,0,0
32,M-AxPPA,M-AxPPA-COPY,synthetic_from_public_paper_structure,16,3,5,8,COPY,0,0
