architecture_id,technology_node_nm,supply_voltage,clock_mhz,energy_saving_pct,area_saving_pct,power_mw,area_um2,delay_ns,pdp,edp
1,65,1.25,200,95.7913,71.6153,0.052609,283.847,3.46875,0.182488,0.633006
2,65,1.25,200,89.791,67.263,0.127612,327.37,3.578125,0.456612,1.633813
3,65,1.25,200,85.8329,64.6188,0.177088,353.812,3.6875,0.653013,2.407986
4,65,1.25,200,80.8701,60.6563,0.239124,393.437,3.796875,0.907924,3.447275
5,65,1.25,200,76.437,58.1959,0.294538,418.041,3.90625,1.150539,4.494295
6,65,1.25,200,72.2837,54.2827,0.346454,457.173,4.015625,1.391229,5.586656
7,65,1.25,200,67.4021,51.7391,0.407474,482.609,4.125,1.680829,6.933421
8,65,1.25,200,63.2381,48.5008,0.459523,514.992,4.234375,1.945794,8.239221
9,65,1.25,200,58.4484,45.502,0.519394,544.98,4.34375,2.25612,9.80002
10,65,1.25,200,55.3814,40.8302,0.557732,591.698,4.453125,2.483652,11.060014
11,65,1.25,200,49.1481,37.2942,0.635648,627.058,4.5625,2.900146,13.231916
12,65,1.25,200,45.1909,35.6181,0.685114,643.819,4.671875,3.200766,14.953577
13,65,1.25,200,41.3387,31.8435,0.733267,681.565,4.78125,3.505931,16.762735
14,65,1.25,200,35.1634,26.9875,0.810457,730.125,4.890625,3.963643,19.384693
15,65,1.25,200,90.167,67.86,0.122913,321.4,3.578125,0.439798,1.573653
16,65,1.25,200,85.4121,62.3873,0.182348,376.127,3.6875,0.672409,2.479507
17,65,1.25,200,81.5645,61.1708,0.230444,388.292,3.796875,0.874965,3.322134
18,65,1.25,200,75.6717,57.6117,0.304104,423.883,3.90625,1.187908,4.640264
19,65,1.25,200,71.0953,54.6974,0.361308,453.026,4.015625,1.450879,5.826187
20,65,1.25,200,66.2474,50.0749,0.421908,499.251,4.125,1.740369,7.179023
21,65,1.25,200,63.6183,46.1592,0.454772,538.408,4.234375,1.925674,8.154025
22,65,1.25,200,57.8827,43.2038,0.526466,567.962,4.34375,2.286837,9.93345
23,65,1.25,200,52.3171,39.0616,0.596036,609.384,4.453125,2.654222,11.819583
24,65,1.25,200,48.9111,36.2602,0.638612,637.398,4.5625,2.913666,13.2936
25,65,1.25,200,45.5462,33.3373,0.680672,666.627,4.671875,3.180015,14.856631
26,65,1.25,200,38.6802,31.5813,0.766498,684.187,4.78125,3.664819,17.522417
27,65,1.25,200,36.0796,27.4824,0.799004,725.176,4.890625,3.907631,19.110757
28,65,1.25,200,85.2149,61.8603,0.184813,381.397,3.6875,0.681499,2.513027
29,65,1.25,200,79.4573,60.4858,0.256784,395.142,3.796875,0.974978,3.701868
30,65,1.25,200,75.8924,55.2386,0.301344,447.614,3.90625,1.177127,4.598151
31,65,1.25,200,71.3683,52.7936,0.357896,472.064,4.015625,1.437178,5.771167
32,65,1.25,200,65.1407,48.4468,0.435741,515.532,4.125,1.797431,7.414404
33,65,1.25,200,61.1955,47.2504,0.485057,527.496,4.234375,2.053912,8.697033
34,65,1.25,200,57.3515,43.6363,0.533106,563.637,4.34375,2.31568,10.058735
35,65,1.25,200,52.7542,38.5988,0.590573,614.012,4.453125,2.629896,11.711255
36,65,1.25,200,47.6321,35.8182,0.654599,641.818,4.5625,2.986609,13.626402
37,65,1.25,200,42.5083,32.838,0.718646,671.62,4.671875,3.357423,15.685459
38,65,1.25,200,39.7522,29.6299,0.753097,703.701,4.78125,3.600745,17.216064
39,65,1.25,200,33.5661,27.5719,0.830424,724.281,4.890625,4.061294,19.862264
40,65,1.25,200,79.4353,57.5835,0.257059,424.165,3.796875,0.97602,3.705826
41,65,1.25,200,74.6932,54.9024,0.316336,450.976,3.90625,1.235686,4.826898
42,65,1.25,200,69.254,52.1144,0.384326,478.856,4.015625,1.543307,6.197343
43,65,1.25,200,65.838,48.2736,0.427024,517.264,4.125,1.761476,7.266088
44,65,1.25,200,60.8154,46.1477,0.489808,538.523,4.234375,2.074029,8.782218
45,65,1.25,200,55.4742,43.704,0.556572,562.96,4.34375,2.417611,10.501496
46,65,1.25,200,50.8843,39.1355,0.613946,608.645,4.453125,2.733979,12.174751
47,65,1.25,200,47.3926,37.1173,0.657593,628.827,4.5625,3.000267,13.688716
48,65,1.25,200,42.9581,32.1308,0.713024,678.692,4.671875,3.331158,15.562756
49,65,1.25,200,38.2096,29.5049,0.77238,704.951,4.78125,3.692943,17.656886
50,65,1.25,200,34.8889,25.1227,0.813889,748.773,4.890625,3.980427,19.466773
51,65,1.25,200,72.7296,55.8079,0.34088,441.921,3.90625,1.331562,5.201415
52,65,1.25,200,68.9713,52.3397,0.387859,476.603,4.015625,1.557496,6.254322
53,65,1.25,200,65.1047,49.1352,0.436191,508.648,4.125,1.799289,7.422069
54,65,1.25,200,60.8144,44.5936,0.489819,554.064,4.234375,2.074079,8.782428
55,65,1.25,200,54.6095,41.8788,0.567381,581.212,4.34375,2.464561,10.705435
56,65,1.25,200,51.9087,37.5277,0.601142,624.723,4.453125,2.676959,11.920832
57,65,1.25,200,47.2793,35.0259,0.659009,649.741,4.5625,3.006726,13.718189
58,65,1.25,200,42.5314,32.1814,0.718357,678.186,4.671875,3.356074,15.67916
