architecture_id,normalized_error,normalized_energy_saving,normalized_area_saving,balanced_score,pareto_optimal_energy_error,pareto_optimal_area_error
1,0.657507,0.977462,0.792215,0.796433,1,0
2,0.701329,0.916235,0.74407,0.785094,0,0
3,0.748445,0.875846,0.714819,0.78631,0,0
4,0.788134,0.825205,0.670986,0.777679,0,0
5,0.825061,0.779969,0.643769,0.773021,0,0
6,0.858263,0.737589,0.60048,0.764471,0,0
7,0.889129,0.687777,0.572343,0.755298,0,0
8,0.913733,0.645287,0.53652,0.744334,0,0
9,0.93651,0.596412,0.503347,0.730843,0,0
10,0.953191,0.565116,0.451668,0.71706,0,0
11,0.969502,0.501511,0.412552,0.694315,0,0
12,0.983464,0.461132,0.394011,0.682757,0,0
13,0.990949,0.421823,0.352256,0.664016,0,0
14,0.995685,0.35881,0.298538,0.633349,0,0
15,0.703675,0.920071,0.750674,0.788814,0,0
16,0.748483,0.871552,0.690134,0.779887,0,0
17,0.787511,0.832291,0.676677,0.781017,0,0
18,0.824831,0.77216,0.637306,0.768891,0,0
19,0.85643,0.725462,0.605068,0.760319,0,0
20,0.888453,0.675994,0.553933,0.747188,0,0
21,0.912344,0.649166,0.510617,0.739887,0,0
22,0.934086,0.59064,0.477924,0.722648,0,0
23,0.957382,0.533848,0.432103,0.704089,0,0
24,0.972209,0.499093,0.401114,0.692399,0,0
25,0.983892,0.464757,0.36878,0.679172,0,0
26,0.989576,0.394696,0.349355,0.653324,0,0
27,0.998086,0.368159,0.304013,0.638797,0,0
28,0.746174,0.86954,0.684304,0.776978,0,0
29,0.788349,0.810789,0.6691,0.772353,0,0
30,0.825819,0.774412,0.611055,0.764874,0,0
31,0.856447,0.728248,0.584008,0.75709,0,0
32,0.889061,0.664701,0.535923,0.739908,0,0
33,0.913007,0.624444,0.522688,0.733946,0,0
34,0.938354,0.585219,0.482709,0.723628,0,0
35,0.954965,0.538308,0.426984,0.703539,0,0
36,0.972814,0.486042,0.396224,0.687126,0,0
37,0.980805,0.433758,0.363257,0.665829,0,0
38,0.991757,0.405635,0.327769,0.653817,0,0
39,0.995074,0.342511,0.305003,0.628663,0,0
40,0.786508,0.810564,0.636994,0.765025,0,0
41,0.823685,0.762176,0.607335,0.758887,0,0
42,0.859692,0.706673,0.576494,0.749496,0,0
43,0.884841,0.671816,0.534007,0.740116,0,0
44,0.914225,0.620565,0.51049,0.730697,0,0
45,0.933783,0.566063,0.483458,0.715016,0,0
46,0.957414,0.519228,0.432921,0.69915,0,0
47,0.972839,0.483598,0.410595,0.689156,0,0
48,0.98436,0.438348,0.355434,0.66747,0,0
49,0.993312,0.389894,0.326386,0.64873,0,0
50,0.998532,0.356009,0.27791,0.629524,0,0
51,0.823242,0.742139,0.617352,0.753678,0,0
52,0.859199,0.703789,0.578987,0.748763,0,0
53,0.886655,0.664334,0.543538,0.740219,0,0
54,0.915519,0.620555,0.493299,0.727837,0,0
55,0.934101,0.55724,0.463267,0.708033,0,0
56,0.956679,0.529681,0.415135,0.698921,0,0
57,0.972929,0.482442,0.38746,0.684165,0,0
58,0.983431,0.433994,0.355994,0.665641,0,0
59,0.993528,0.390441,0.301737,0.644089,0,0
60,0.997528,0.34318,0.277316,0.624464,0,0
61,0.856545,0.694718,0.550729,0.738742,0,0
62,0.887693,0.64602,0.514026,0.728374,0,0
63,0.914738,0.617597,0.492049,0.726201,0,0
64,0.93663,0.572565,0.456262,0.713134,0,0
65,0.953361,0.508149,0.426131,0.692091,0,0
66,0.970948,0.460229,0.377212,0.673449,0,0
67,0.981723,0.428274,0.356329,0.662937,0,0
68,0.990344,0.370884,0.296724,0.634809,0,0
69,0.998689,0.325371,0.283777,0.620046,0,0
70,0.88792,0.651527,0.533525,0.734303,0,0
71,0.912169,0.596395,0.499331,0.71908,0,0
72,0.934061,0.552682,0.447938,0.703354,0,0
73,0.954495,0.516768,0.411969,0.692785,0,0
74,0.968964,0.467356,0.381762,0.675961,0,0
75,0.982271,0.403272,0.341259,0.651419,0,0
76,0.992185,0.375082,0.30285,0.638332,0,0
77,0.995059,0.316412,0.251792,0.608879,0,0
78,0.913225,0.595299,0.471751,0.713656,0,0
79,0.938359,0.547474,0.438812,0.70164,0,0
80,0.955225,0.503212,0.399859,0.685947,0,0
81,0.971001,0.440961,0.379276,0.667142,0,0
82,0.985103,0.402161,0.346601,0.653373,0,0
83,0.992828,0.353854,0.309397,0.632501,0,0
84,0.998394,0.323947,0.244722,0.611603,0,0
85,0.936775,0.540517,0.429954,0.696721,0,0
86,0.957942,0.498127,0.4031,0.686038,0,0
87,0.96936,0.455445,0.349837,0.665585,0,0
88,0.984385,0.400594,0.332971,0.649775,0,0
89,0.991399,0.340169,0.27421,0.620031,0,0
90,0.996813,0.311987,0.246831,0.607127,0,0
91,0.956919,0.480071,0.392713,0.677181,0,0
92,0.973467,0.439117,0.359534,0.663658,0,0
93,0.983574,0.401139,0.313379,0.645683,0,0
94,0.991437,0.350193,0.28299,0.625312,0,0
95,0.998874,0.298074,0.240899,0.601999,0,0
96,0.970015,0.432394,0.339318,0.655708,0,0
97,0.985068,0.372867,0.31773,0.63733,0,0
98,0.99195,0.335914,0.270287,0.618005,0,0
99,0.997546,0.291051,0.229765,0.596717,0,0
100,0.986186,0.368651,0.301852,0.633182,0,0
101,0.992518,0.340281,0.260231,0.617777,0,0
102,0.999672,0.291928,0.229958,0.598019,1,1
103,0.990859,0.311071,0.270887,0.608939,0,0
104,0.996027,0.272742,0.235665,0.590805,0,0
105,1.0,0.264759,0.203634,0.583393,1,1
106,0.43725,1.0,0.937153,0.734193,1,1
107,0.512093,0.971029,0.885081,0.747318,0,0
108,0.584404,0.918395,0.85447,0.755314,0,0
109,0.650745,0.892237,0.827404,0.770599,0,1
110,0.71064,0.841444,0.793113,0.772916,0,1
111,0.767796,0.793232,0.752331,0.773605,0,0
112,0.813498,0.743678,0.694863,0.765334,0,0
113,0.856762,0.689744,0.658763,0.758706,0,0
114,0.89411,0.657781,0.618632,0.756299,0,0
115,0.928615,0.605596,0.592602,0.748356,0,1
116,0.950492,0.565313,0.561618,0.737905,0,1
117,0.973332,0.514221,0.510559,0.720089,0,1
118,0.984887,0.460412,0.502207,0.704785,0,1
119,0.997203,0.424046,0.450884,0.687334,1,1
120,0.516313,0.982143,0.934304,0.762952,1,1
121,0.587,0.910799,0.860882,0.755106,0,1
122,0.652611,0.878327,0.808057,0.762701,0,1
123,0.711218,0.832855,0.768147,0.765177,0,0
124,0.766547,0.791303,0.745001,0.770903,0,0
125,0.814617,0.739074,0.689827,0.763219,0,0
126,0.857635,0.700672,0.660947,0.763361,0,0
127,0.893954,0.652915,0.612621,0.753324,0,0
128,0.928145,0.587256,0.579,0.739005,0,0
129,0.953959,0.541851,0.547612,0.728452,0,1
130,0.970736,0.508794,0.511693,0.717247,0,0
131,0.986616,0.468068,0.492051,0.706211,1,1
132,0.998204,0.419346,0.43545,0.683053,1,0
133,0.585777,0.916733,0.840912,0.752638,0,0
134,0.652436,0.857849,0.796586,0.753161,0,0
135,0.710365,0.821451,0.76613,0.760398,0,0
136,0.768926,0.766119,0.743085,0.762776,0,0
137,0.816405,0.719369,0.697681,0.758698,0,0
138,0.8577,0.686845,0.659377,0.758236,0,0
139,0.898185,0.643433,0.621447,0.753674,0,1
140,0.92555,0.596613,0.568225,0.738957,0,0
141,0.952398,0.531119,0.550573,0.724586,0,1
142,0.973077,0.497735,0.514229,0.714938,0,1
143,0.989778,0.455996,0.47032,0.699063,1,1
144,0.997781,0.406465,0.4362,0.678504,0,0
145,0.649965,0.86233,0.789265,0.752152,0,0
146,0.713735,0.824002,0.758607,0.761303,0,0
147,0.765449,0.773884,0.728223,0.760956,0,0
148,0.815212,0.715064,0.672623,0.751643,0,0
149,0.858113,0.662851,0.647336,0.747616,0,0
150,0.894262,0.626847,0.603396,0.742494,0,0
151,0.926191,0.583448,0.570115,0.735016,0,0
152,0.954422,0.539787,0.546532,0.727722,0,1
153,0.973052,0.496878,0.517358,0.715252,0,1
154,0.989527,0.432603,0.461981,0.689095,0,0
155,0.996825,0.396758,0.423745,0.672186,0,0
156,0.713935,0.804186,0.74502,0.75174,0,0
157,0.769249,0.752437,0.703091,0.750133,0,0
158,0.81622,0.707076,0.675347,0.749845,0,0
159,0.85676,0.668642,0.634496,0.746466,0,0
160,0.89424,0.628366,0.59511,0.741358,0,0
161,0.929991,0.568797,0.571412,0.731857,0,1
162,0.951498,0.52204,0.540513,0.71899,0,0
163,0.972029,0.480187,0.496176,0.704714,0,0
164,0.98892,0.433802,0.453147,0.687474,0,0
165,0.998389,0.375759,0.436225,0.668036,1,1
166,0.767655,0.750931,0.72312,0.752895,0,0
167,0.817771,0.697424,0.667466,0.745589,0,0
168,0.859424,0.646997,0.635221,0.740234,0,0
169,0.89542,0.62097,0.603514,0.740982,0,0
170,0.929878,0.56449,0.563229,0.728662,0,0
171,0.954242,0.527316,0.52331,0.718632,0,0
172,0.972116,0.481784,0.495853,0.705247,0,0
173,0.989723,0.432483,0.44801,0.686346,0,0
174,0.993641,0.377189,0.417697,0.662694,0,0
175,0.814612,0.68911,0.666757,0.741115,0,0
176,0.856755,0.639747,0.628597,0.73517,0,0
177,0.897982,0.610269,0.584999,0.734686,0,0
178,0.927417,0.569376,0.560766,0.728772,0,0
179,0.952148,0.501666,0.53325,0.7107,0,0
180,0.972247,0.462006,0.491026,0.697418,0,0
181,0.985418,0.414267,0.458846,0.680201,0,0
182,0.997193,0.378055,0.399285,0.660913,0,0
183,0.859632,0.642602,0.621554,0.736056,0,0
184,0.8954,0.584847,0.573666,0.72236,0,0
185,0.926484,0.545497,0.547452,0.717332,0,0
186,0.95549,0.502136,0.514913,0.708701,0,0
187,0.97436,0.457171,0.46965,0.692402,0,0
188,0.987822,0.413164,0.427882,0.674704,0,0
189,0.994749,0.376014,0.409105,0.661063,0,0
190,0.895783,0.583253,0.572926,0.721826,0,0
191,0.92828,0.549812,0.542353,0.718631,0,0
192,0.954855,0.500489,0.498507,0.704557,0,0
193,0.973788,0.456712,0.463987,0.690851,0,0
194,0.98912,0.40684,0.446286,0.676755,0,0
195,0.998539,0.358236,0.40397,0.655519,1,1
196,0.928242,0.539479,0.540262,0.714579,0,0
197,0.956171,0.475971,0.497008,0.696268,0,0
198,0.975256,0.452605,0.469913,0.69126,0,0
199,0.986168,0.401534,0.426913,0.669695,0,0
200,0.999032,0.353796,0.390452,0.651483,1,1
201,0.952821,0.471683,0.494877,0.692834,0,0
202,0.97297,0.436287,0.464805,0.683498,0,0
203,0.986714,0.378332,0.423191,0.661076,0,0
204,0.99573,0.32909,0.394834,0.642227,0,0
205,0.974168,0.415989,0.432423,0.670456,0,0
206,0.987059,0.374583,0.399884,0.655257,0,0
207,0.997944,0.337414,0.371262,0.641422,0,0
208,0.989936,0.378067,0.416792,0.661153,0,0
209,0.995597,0.334066,0.374428,0.639827,0,0
