architecture_id,family,variant,strategy,w_bits,m_bits,l_bits,k_bits,configuration,is_literature_baseline,selected_for_synthesis,ssim,ncc,mae,mre,mred,error_class,energy_saving_pct,area_saving_pct,power_mw,area_um2,delay_ns,pdp,edp,balanced_score,profile,pareto_energy_error,pareto_area_error,is_acceptable_mred_010,is_acceptable_mred_005
1,M-AxPPA,M-AxPPA-COPY,COPY,16,1,1,14,"M=1, L=1, K=14",0,0,0.902,0.948,12280.0,0.208,0.13690627151044535,Erro moderado,95.7913,71.6153,0.052609,283.847,3.46875,0.182488,0.633006,0.796433,Prioridade em area,1,0,0,0
2,M-AxPPA,M-AxPPA-COPY,COPY,16,1,2,13,"M=1, L=2, K=13",0,0,0.91495,0.965503,10274.991,0.178387,0.119389,Erro moderado,89.791,67.263,0.127612,327.37,3.578125,0.456612,1.633813,0.785094,Prioridade em area,0,0,0,0
3,M-AxPPA,M-AxPPA-COPY,COPY,16,1,3,12,"M=1, L=3, K=12",0,0,0.926615,0.970244,8870.609,0.154139,0.100555,Erro moderado,85.8329,64.6188,0.177088,353.812,3.6875,0.653013,2.407986,0.78631,Prioridade em energia,0,0,0,0
4,M-AxPPA,M-AxPPA-COPY,COPY,16,1,4,11,"M=1, L=4, K=11",0,0,0.939279,0.975373,7352.9,0.127407,0.08469,Erro controlado,80.8701,60.6563,0.239124,393.437,3.796875,0.907924,3.447275,0.777679,Alta economia com erro controlado,0,0,1,0
5,M-AxPPA,M-AxPPA-COPY,COPY,16,1,5,10,"M=1, L=5, K=10",0,0,0.94979,0.979636,6104.879,0.105361,0.069929,Erro controlado,76.437,58.1959,0.294538,418.041,3.90625,1.150539,4.494295,0.773021,Trade-off intermediario,0,0,1,0
6,M-AxPPA,M-AxPPA-COPY,COPY,16,1,6,9,"M=1, L=6, K=9",0,0,0.958588,0.983209,5048.049,0.08699,0.056657,Erro controlado,72.2837,54.2827,0.346454,457.173,4.015625,1.391229,5.586656,0.764471,Trade-off intermediario,0,0,1,0
7,M-AxPPA,M-AxPPA-COPY,COPY,16,1,7,8,"M=1, L=7, K=8",0,1,0.966743,0.98652,4089.533,0.069966,0.044319,Baixo erro,67.4021,51.7391,0.407474,482.609,4.125,1.680829,6.933421,0.755298,Prioridade em acuracia,0,0,1,1
8,M-AxPPA,M-AxPPA-COPY,COPY,16,1,8,7,"M=1, L=8, K=7",0,0,0.974355,0.989604,3117.15,0.053924,0.034484,Baixo erro,63.2381,48.5008,0.459523,514.992,4.234375,1.945794,8.239221,0.744334,Prioridade em acuracia,0,0,1,1
9,M-AxPPA,M-AxPPA-COPY,COPY,16,1,9,6,"M=1, L=9, K=6",0,0,0.980489,0.992094,2373.733,0.041103,0.025379,Baixo erro,58.4484,45.502,0.519394,544.98,4.34375,2.25612,9.80002,0.730843,Prioridade em acuracia,0,0,1,1
10,M-AxPPA,M-AxPPA-COPY,COPY,16,1,10,5,"M=1, L=10, K=5",0,0,0.987087,0.99476,1605.625,0.027032,0.018711,Baixo erro,55.3814,40.8302,0.557732,591.698,4.453125,2.483652,11.060014,0.71706,Prioridade em acuracia,0,0,1,1
